"STATISTIC","Statistic Label","TLIST(A1)","Year","C02639V03196","Day of Week","UNIT","VALUE"
"ROA18C1","Fatal Collisions","2005","2005","-","All days","Number","360"
"ROA18C1","Fatal Collisions","2005","2005","1","Sunday","Number","82"
"ROA18C1","Fatal Collisions","2005","2005","2","Monday","Number","42"
"ROA18C1","Fatal Collisions","2005","2005","3","Tuesday","Number","28"
"ROA18C1","Fatal Collisions","2005","2005","4","Wednesday","Number","36"
"ROA18C1","Fatal Collisions","2005","2005","5","Thursday","Number","43"
"ROA18C1","Fatal Collisions","2005","2005","6","Friday","Number","54"
"ROA18C1","Fatal Collisions","2005","2005","7","Saturday","Number","75"
"ROA18C1","Fatal Collisions","2006","2006","-","All days","Number","321"
"ROA18C1","Fatal Collisions","2006","2006","1","Sunday","Number","70"
"ROA18C1","Fatal Collisions","2006","2006","2","Monday","Number","55"
"ROA18C1","Fatal Collisions","2006","2006","3","Tuesday","Number","41"
"ROA18C1","Fatal Collisions","2006","2006","4","Wednesday","Number","30"
"ROA18C1","Fatal Collisions","2006","2006","5","Thursday","Number","35"
"ROA18C1","Fatal Collisions","2006","2006","6","Friday","Number","41"
"ROA18C1","Fatal Collisions","2006","2006","7","Saturday","Number","49"
"ROA18C1","Fatal Collisions","2007","2007","-","All days","Number","309"
"ROA18C1","Fatal Collisions","2007","2007","1","Sunday","Number","66"
"ROA18C1","Fatal Collisions","2007","2007","2","Monday","Number","36"
"ROA18C1","Fatal Collisions","2007","2007","3","Tuesday","Number","34"
"ROA18C1","Fatal Collisions","2007","2007","4","Wednesday","Number","32"
"ROA18C1","Fatal Collisions","2007","2007","5","Thursday","Number","53"
"ROA18C1","Fatal Collisions","2007","2007","6","Friday","Number","34"
"ROA18C1","Fatal Collisions","2007","2007","7","Saturday","Number","54"
"ROA18C1","Fatal Collisions","2008","2008","-","All days","Number","254"
"ROA18C1","Fatal Collisions","2008","2008","1","Sunday","Number","52"
"ROA18C1","Fatal Collisions","2008","2008","2","Monday","Number","34"
"ROA18C1","Fatal Collisions","2008","2008","3","Tuesday","Number","32"
"ROA18C1","Fatal Collisions","2008","2008","4","Wednesday","Number","29"
"ROA18C1","Fatal Collisions","2008","2008","5","Thursday","Number","34"
"ROA18C1","Fatal Collisions","2008","2008","6","Friday","Number","31"
"ROA18C1","Fatal Collisions","2008","2008","7","Saturday","Number","42"
"ROA18C1","Fatal Collisions","2009","2009","-","All days","Number","220"
"ROA18C1","Fatal Collisions","2009","2009","1","Sunday","Number","47"
"ROA18C1","Fatal Collisions","2009","2009","2","Monday","Number","41"
"ROA18C1","Fatal Collisions","2009","2009","3","Tuesday","Number","28"
"ROA18C1","Fatal Collisions","2009","2009","4","Wednesday","Number","25"
"ROA18C1","Fatal Collisions","2009","2009","5","Thursday","Number","16"
"ROA18C1","Fatal Collisions","2009","2009","6","Friday","Number","29"
"ROA18C1","Fatal Collisions","2009","2009","7","Saturday","Number","34"
"ROA18C1","Fatal Collisions","2010","2010","-","All days","Number","185"
"ROA18C1","Fatal Collisions","2010","2010","1","Sunday","Number","42"
"ROA18C1","Fatal Collisions","2010","2010","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2010","2010","3","Tuesday","Number","21"
"ROA18C1","Fatal Collisions","2010","2010","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2010","2010","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2010","2010","6","Friday","Number","26"
"ROA18C1","Fatal Collisions","2010","2010","7","Saturday","Number","37"
"ROA18C1","Fatal Collisions","2011","2011","-","All days","Number","172"
"ROA18C1","Fatal Collisions","2011","2011","1","Sunday","Number","30"
"ROA18C1","Fatal Collisions","2011","2011","2","Monday","Number","29"
"ROA18C1","Fatal Collisions","2011","2011","3","Tuesday","Number","26"
"ROA18C1","Fatal Collisions","2011","2011","4","Wednesday","Number","19"
"ROA18C1","Fatal Collisions","2011","2011","5","Thursday","Number","21"
"ROA18C1","Fatal Collisions","2011","2011","6","Friday","Number","29"
"ROA18C1","Fatal Collisions","2011","2011","7","Saturday","Number","18"
"ROA18C1","Fatal Collisions","2012","2012","-","All days","Number","152"
"ROA18C1","Fatal Collisions","2012","2012","1","Sunday","Number","38"
"ROA18C1","Fatal Collisions","2012","2012","2","Monday","Number","16"
"ROA18C1","Fatal Collisions","2012","2012","3","Tuesday","Number","11"
"ROA18C1","Fatal Collisions","2012","2012","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2012","2012","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2012","2012","6","Friday","Number","22"
"ROA18C1","Fatal Collisions","2012","2012","7","Saturday","Number","26"
"ROA18C1","Fatal Collisions","2013","2013","-","All days","Number","179"
"ROA18C1","Fatal Collisions","2013","2013","1","Sunday","Number","32"
"ROA18C1","Fatal Collisions","2013","2013","2","Monday","Number","27"
"ROA18C1","Fatal Collisions","2013","2013","3","Tuesday","Number","19"
"ROA18C1","Fatal Collisions","2013","2013","4","Wednesday","Number","21"
"ROA18C1","Fatal Collisions","2013","2013","5","Thursday","Number","24"
"ROA18C1","Fatal Collisions","2013","2013","6","Friday","Number","32"
"ROA18C1","Fatal Collisions","2013","2013","7","Saturday","Number","24"
"ROA18C1","Fatal Collisions","2014","2014","-","All days","Number","178"
"ROA18C1","Fatal Collisions","2014","2014","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2014","2014","2","Monday","Number","26"
"ROA18C1","Fatal Collisions","2014","2014","3","Tuesday","Number","18"
"ROA18C1","Fatal Collisions","2014","2014","4","Wednesday","Number","23"
"ROA18C1","Fatal Collisions","2014","2014","5","Thursday","Number","35"
"ROA18C1","Fatal Collisions","2014","2014","6","Friday","Number","24"
"ROA18C1","Fatal Collisions","2014","2014","7","Saturday","Number","23"
"ROA18C1","Fatal Collisions","2015","2015","-","All days","Number","155"
"ROA18C1","Fatal Collisions","2015","2015","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2015","2015","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2015","2015","3","Tuesday","Number","23"
"ROA18C1","Fatal Collisions","2015","2015","4","Wednesday","Number","20"
"ROA18C1","Fatal Collisions","2015","2015","5","Thursday","Number","19"
"ROA18C1","Fatal Collisions","2015","2015","6","Friday","Number","22"
"ROA18C1","Fatal Collisions","2015","2015","7","Saturday","Number","22"
"ROA18C1","Fatal Collisions","2016","2016","-","All days","Number","174"
"ROA18C1","Fatal Collisions","2016","2016","1","Sunday","Number","34"
"ROA18C1","Fatal Collisions","2016","2016","2","Monday","Number","19"
"ROA18C1","Fatal Collisions","2016","2016","3","Tuesday","Number","26"
"ROA18C1","Fatal Collisions","2016","2016","4","Wednesday","Number","23"
"ROA18C1","Fatal Collisions","2016","2016","5","Thursday","Number","30"
"ROA18C1","Fatal Collisions","2016","2016","6","Friday","Number","15"
"ROA18C1","Fatal Collisions","2016","2016","7","Saturday","Number","27"
"ROA18C1","Fatal Collisions","2017","2017","-","All days","Number","141"
"ROA18C1","Fatal Collisions","2017","2017","1","Sunday","Number","30"
"ROA18C1","Fatal Collisions","2017","2017","2","Monday","Number","30"
"ROA18C1","Fatal Collisions","2017","2017","3","Tuesday","Number","17"
"ROA18C1","Fatal Collisions","2017","2017","4","Wednesday","Number","16"
"ROA18C1","Fatal Collisions","2017","2017","5","Thursday","Number","9"
"ROA18C1","Fatal Collisions","2017","2017","6","Friday","Number","17"
"ROA18C1","Fatal Collisions","2017","2017","7","Saturday","Number","22"
"ROA18C1","Fatal Collisions","2018","2018","-","All days","Number","132"
"ROA18C1","Fatal Collisions","2018","2018","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2018","2018","2","Monday","Number","16"
"ROA18C1","Fatal Collisions","2018","2018","3","Tuesday","Number","21"
"ROA18C1","Fatal Collisions","2018","2018","4","Wednesday","Number","16"
"ROA18C1","Fatal Collisions","2018","2018","5","Thursday","Number","14"
"ROA18C1","Fatal Collisions","2018","2018","6","Friday","Number","18"
"ROA18C1","Fatal Collisions","2018","2018","7","Saturday","Number","18"
"ROA18C1","Fatal Collisions","2019","2019","-","All days","Number","129"
"ROA18C1","Fatal Collisions","2019","2019","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2019","2019","2","Monday","Number","16"
"ROA18C1","Fatal Collisions","2019","2019","3","Tuesday","Number","12"
"ROA18C1","Fatal Collisions","2019","2019","4","Wednesday","Number","10"
"ROA18C1","Fatal Collisions","2019","2019","5","Thursday","Number","20"
"ROA18C1","Fatal Collisions","2019","2019","6","Friday","Number","24"
"ROA18C1","Fatal Collisions","2019","2019","7","Saturday","Number","18"
"ROA18C1","Fatal Collisions","2020","2020","-","All days","Number","136"
"ROA18C1","Fatal Collisions","2020","2020","1","Sunday","Number","21"
"ROA18C1","Fatal Collisions","2020","2020","2","Monday","Number","23"
"ROA18C1","Fatal Collisions","2020","2020","3","Tuesday","Number","18"
"ROA18C1","Fatal Collisions","2020","2020","4","Wednesday","Number","22"
"ROA18C1","Fatal Collisions","2020","2020","5","Thursday","Number","13"
"ROA18C1","Fatal Collisions","2020","2020","6","Friday","Number","12"
"ROA18C1","Fatal Collisions","2020","2020","7","Saturday","Number","27"
"ROA18C1","Fatal Collisions","2021","2021","-","All days","Number","124"
"ROA18C1","Fatal Collisions","2021","2021","1","Sunday","Number","16"
"ROA18C1","Fatal Collisions","2021","2021","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2021","2021","3","Tuesday","Number","22"
"ROA18C1","Fatal Collisions","2021","2021","4","Wednesday","Number","14"
"ROA18C1","Fatal Collisions","2021","2021","5","Thursday","Number","18"
"ROA18C1","Fatal Collisions","2021","2021","6","Friday","Number","13"
"ROA18C1","Fatal Collisions","2021","2021","7","Saturday","Number","21"
"ROA18C1","Fatal Collisions","2022","2022","-","All days","Number","147"
"ROA18C1","Fatal Collisions","2022","2022","1","Sunday","Number","29"
"ROA18C1","Fatal Collisions","2022","2022","2","Monday","Number","17"
"ROA18C1","Fatal Collisions","2022","2022","3","Tuesday","Number","17"
"ROA18C1","Fatal Collisions","2022","2022","4","Wednesday","Number","21"
"ROA18C1","Fatal Collisions","2022","2022","5","Thursday","Number","21"
"ROA18C1","Fatal Collisions","2022","2022","6","Friday","Number","22"
"ROA18C1","Fatal Collisions","2022","2022","7","Saturday","Number","20"
"ROA18C1","Fatal Collisions","2023","2023","-","All days","Number","168"
"ROA18C1","Fatal Collisions","2023","2023","1","Sunday","Number","26"
"ROA18C1","Fatal Collisions","2023","2023","2","Monday","Number","20"
"ROA18C1","Fatal Collisions","2023","2023","3","Tuesday","Number","16"
"ROA18C1","Fatal Collisions","2023","2023","4","Wednesday","Number","30"
"ROA18C1","Fatal Collisions","2023","2023","5","Thursday","Number","21"
"ROA18C1","Fatal Collisions","2023","2023","6","Friday","Number","19"
"ROA18C1","Fatal Collisions","2023","2023","7","Saturday","Number","36"
"ROA18C2","Injury Collisions","2005","2005","-","All days","Number","6173"
"ROA18C2","Injury Collisions","2005","2005","1","Sunday","Number","916"
"ROA18C2","Injury Collisions","2005","2005","2","Monday","Number","893"
"ROA18C2","Injury Collisions","2005","2005","3","Tuesday","Number","780"
"ROA18C2","Injury Collisions","2005","2005","4","Wednesday","Number","820"
"ROA18C2","Injury Collisions","2005","2005","5","Thursday","Number","853"
"ROA18C2","Injury Collisions","2005","2005","6","Friday","Number","988"
"ROA18C2","Injury Collisions","2005","2005","7","Saturday","Number","923"
"ROA18C2","Injury Collisions","2006","2006","-","All days","Number","5697"
"ROA18C2","Injury Collisions","2006","2006","1","Sunday","Number","901"
"ROA18C2","Injury Collisions","2006","2006","2","Monday","Number","811"
"ROA18C2","Injury Collisions","2006","2006","3","Tuesday","Number","789"
"ROA18C2","Injury Collisions","2006","2006","4","Wednesday","Number","720"
"ROA18C2","Injury Collisions","2006","2006","5","Thursday","Number","716"
"ROA18C2","Injury Collisions","2006","2006","6","Friday","Number","869"
"ROA18C2","Injury Collisions","2006","2006","7","Saturday","Number","891"
"ROA18C2","Injury Collisions","2007","2007","-","All days","Number","5158"
"ROA18C2","Injury Collisions","2007","2007","1","Sunday","Number","762"
"ROA18C2","Injury Collisions","2007","2007","2","Monday","Number","708"
"ROA18C2","Injury Collisions","2007","2007","3","Tuesday","Number","702"
"ROA18C2","Injury Collisions","2007","2007","4","Wednesday","Number","712"
"ROA18C2","Injury Collisions","2007","2007","5","Thursday","Number","701"
"ROA18C2","Injury Collisions","2007","2007","6","Friday","Number","817"
"ROA18C2","Injury Collisions","2007","2007","7","Saturday","Number","756"
"ROA18C2","Injury Collisions","2008","2008","-","All days","Number","6482"
"ROA18C2","Injury Collisions","2008","2008","1","Sunday","Number","891"
"ROA18C2","Injury Collisions","2008","2008","2","Monday","Number","920"
"ROA18C2","Injury Collisions","2008","2008","3","Tuesday","Number","963"
"ROA18C2","Injury Collisions","2008","2008","4","Wednesday","Number","892"
"ROA18C2","Injury Collisions","2008","2008","5","Thursday","Number","923"
"ROA18C2","Injury Collisions","2008","2008","6","Friday","Number","978"
"ROA18C2","Injury Collisions","2008","2008","7","Saturday","Number","915"
"ROA18C2","Injury Collisions","2009","2009","-","All days","Number","6395"
"ROA18C2","Injury Collisions","2009","2009","1","Sunday","Number","922"
"ROA18C2","Injury Collisions","2009","2009","2","Monday","Number","977"
"ROA18C2","Injury Collisions","2009","2009","3","Tuesday","Number","807"
"ROA18C2","Injury Collisions","2009","2009","4","Wednesday","Number","874"
"ROA18C2","Injury Collisions","2009","2009","5","Thursday","Number","907"
"ROA18C2","Injury Collisions","2009","2009","6","Friday","Number","1018"
"ROA18C2","Injury Collisions","2009","2009","7","Saturday","Number","890"
"ROA18C2","Injury Collisions","2010","2010","-","All days","Number","5595"
"ROA18C2","Injury Collisions","2010","2010","1","Sunday","Number","796"
"ROA18C2","Injury Collisions","2010","2010","2","Monday","Number","754"
"ROA18C2","Injury Collisions","2010","2010","3","Tuesday","Number","728"
"ROA18C2","Injury Collisions","2010","2010","4","Wednesday","Number","749"
"ROA18C2","Injury Collisions","2010","2010","5","Thursday","Number","761"
"ROA18C2","Injury Collisions","2010","2010","6","Friday","Number","986"
"ROA18C2","Injury Collisions","2010","2010","7","Saturday","Number","821"
"ROA18C2","Injury Collisions","2011","2011","-","All days","Number","5058"
"ROA18C2","Injury Collisions","2011","2011","1","Sunday","Number","689"
"ROA18C2","Injury Collisions","2011","2011","2","Monday","Number","696"
"ROA18C2","Injury Collisions","2011","2011","3","Tuesday","Number","747"
"ROA18C2","Injury Collisions","2011","2011","4","Wednesday","Number","736"
"ROA18C2","Injury Collisions","2011","2011","5","Thursday","Number","692"
"ROA18C2","Injury Collisions","2011","2011","6","Friday","Number","781"
"ROA18C2","Injury Collisions","2011","2011","7","Saturday","Number","717"
"ROA18C2","Injury Collisions","2012","2012","-","All days","Number","5458"
"ROA18C2","Injury Collisions","2012","2012","1","Sunday","Number","768"
"ROA18C2","Injury Collisions","2012","2012","2","Monday","Number","765"
"ROA18C2","Injury Collisions","2012","2012","3","Tuesday","Number","776"
"ROA18C2","Injury Collisions","2012","2012","4","Wednesday","Number","754"
"ROA18C2","Injury Collisions","2012","2012","5","Thursday","Number","788"
"ROA18C2","Injury Collisions","2012","2012","6","Friday","Number","900"
"ROA18C2","Injury Collisions","2012","2012","7","Saturday","Number","707"
"ROA18C2","Injury Collisions","2013","2013","-","All days","Number","4797"
"ROA18C2","Injury Collisions","2013","2013","1","Sunday","Number","573"
"ROA18C2","Injury Collisions","2013","2013","2","Monday","Number","685"
"ROA18C2","Injury Collisions","2013","2013","3","Tuesday","Number","683"
"ROA18C2","Injury Collisions","2013","2013","4","Wednesday","Number","720"
"ROA18C2","Injury Collisions","2013","2013","5","Thursday","Number","720"
"ROA18C2","Injury Collisions","2013","2013","6","Friday","Number","748"
"ROA18C2","Injury Collisions","2013","2013","7","Saturday","Number","668"
"ROA18C2","Injury Collisions","2014","2014","-","All days","Number","5618"
"ROA18C2","Injury Collisions","2014","2014","1","Sunday","Number","666"
"ROA18C2","Injury Collisions","2014","2014","2","Monday","Number","841"
"ROA18C2","Injury Collisions","2014","2014","3","Tuesday","Number","799"
"ROA18C2","Injury Collisions","2014","2014","4","Wednesday","Number","765"
"ROA18C2","Injury Collisions","2014","2014","5","Thursday","Number","811"
"ROA18C2","Injury Collisions","2014","2014","6","Friday","Number","905"
"ROA18C2","Injury Collisions","2014","2014","7","Saturday","Number","831"
"ROA18C2","Injury Collisions","2015","2015","-","All days","Number","5676"
"ROA18C2","Injury Collisions","2015","2015","1","Sunday","Number","736"
"ROA18C2","Injury Collisions","2015","2015","2","Monday","Number","841"
"ROA18C2","Injury Collisions","2015","2015","3","Tuesday","Number","828"
"ROA18C2","Injury Collisions","2015","2015","4","Wednesday","Number","856"
"ROA18C2","Injury Collisions","2015","2015","5","Thursday","Number","824"
"ROA18C2","Injury Collisions","2015","2015","6","Friday","Number","863"
"ROA18C2","Injury Collisions","2015","2015","7","Saturday","Number","728"
"ROA18C2","Injury Collisions","2016","2016","-","All days","Number","5717"
"ROA18C2","Injury Collisions","2016","2016","1","Sunday","Number","709"
"ROA18C2","Injury Collisions","2016","2016","2","Monday","Number","826"
"ROA18C2","Injury Collisions","2016","2016","3","Tuesday","Number","825"
"ROA18C2","Injury Collisions","2016","2016","4","Wednesday","Number","845"
"ROA18C2","Injury Collisions","2016","2016","5","Thursday","Number","811"
"ROA18C2","Injury Collisions","2016","2016","6","Friday","Number","907"
"ROA18C2","Injury Collisions","2016","2016","7","Saturday","Number","794"
"ROA18C2","Injury Collisions","2017","2017","-","All days","Number","5914"
"ROA18C2","Injury Collisions","2017","2017","1","Sunday","Number","761"
"ROA18C2","Injury Collisions","2017","2017","2","Monday","Number","829"
"ROA18C2","Injury Collisions","2017","2017","3","Tuesday","Number","837"
"ROA18C2","Injury Collisions","2017","2017","4","Wednesday","Number","888"
"ROA18C2","Injury Collisions","2017","2017","5","Thursday","Number","887"
"ROA18C2","Injury Collisions","2017","2017","6","Friday","Number","903"
"ROA18C2","Injury Collisions","2017","2017","7","Saturday","Number","809"
"ROA18C2","Injury Collisions","2018","2018","-","All days","Number","5974"
"ROA18C2","Injury Collisions","2018","2018","1","Sunday","Number","705"
"ROA18C2","Injury Collisions","2018","2018","2","Monday","Number","874"
"ROA18C2","Injury Collisions","2018","2018","3","Tuesday","Number","852"
"ROA18C2","Injury Collisions","2018","2018","4","Wednesday","Number","845"
"ROA18C2","Injury Collisions","2018","2018","5","Thursday","Number","925"
"ROA18C2","Injury Collisions","2018","2018","6","Friday","Number","1003"
"ROA18C2","Injury Collisions","2018","2018","7","Saturday","Number","770"
"ROA18C2","Injury Collisions","2019","2019","-","All days","Number","5698"
"ROA18C2","Injury Collisions","2019","2019","1","Sunday","Number","686"
"ROA18C2","Injury Collisions","2019","2019","2","Monday","Number","797"
"ROA18C2","Injury Collisions","2019","2019","3","Tuesday","Number","841"
"ROA18C2","Injury Collisions","2019","2019","4","Wednesday","Number","869"
"ROA18C2","Injury Collisions","2019","2019","5","Thursday","Number","882"
"ROA18C2","Injury Collisions","2019","2019","6","Friday","Number","914"
"ROA18C2","Injury Collisions","2019","2019","7","Saturday","Number","709"
"ROA18C2","Injury Collisions","2020","2020","-","All days","Number","4293"
"ROA18C2","Injury Collisions","2020","2020","1","Sunday","Number","497"
"ROA18C2","Injury Collisions","2020","2020","2","Monday","Number","602"
"ROA18C2","Injury Collisions","2020","2020","3","Tuesday","Number","603"
"ROA18C2","Injury Collisions","2020","2020","4","Wednesday","Number","627"
"ROA18C2","Injury Collisions","2020","2020","5","Thursday","Number","671"
"ROA18C2","Injury Collisions","2020","2020","6","Friday","Number","720"
"ROA18C2","Injury Collisions","2020","2020","7","Saturday","Number","573"
"ROA18C2","Injury Collisions","2021","2021","-","All days","Number","4789"
"ROA18C2","Injury Collisions","2021","2021","1","Sunday","Number","608"
"ROA18C2","Injury Collisions","2021","2021","2","Monday","Number","627"
"ROA18C2","Injury Collisions","2021","2021","3","Tuesday","Number","649"
"ROA18C2","Injury Collisions","2021","2021","4","Wednesday","Number","708"
"ROA18C2","Injury Collisions","2021","2021","5","Thursday","Number","712"
"ROA18C2","Injury Collisions","2021","2021","6","Friday","Number","796"
"ROA18C2","Injury Collisions","2021","2021","7","Saturday","Number","689"
"ROA18C2","Injury Collisions","2022","2022","-","All days","Number","5568"
"ROA18C2","Injury Collisions","2022","2022","1","Sunday","Number","708"
"ROA18C2","Injury Collisions","2022","2022","2","Monday","Number","755"
"ROA18C2","Injury Collisions","2022","2022","3","Tuesday","Number","806"
"ROA18C2","Injury Collisions","2022","2022","4","Wednesday","Number","830"
"ROA18C2","Injury Collisions","2022","2022","5","Thursday","Number","840"
"ROA18C2","Injury Collisions","2022","2022","6","Friday","Number","844"
"ROA18C2","Injury Collisions","2022","2022","7","Saturday","Number","785"
"ROA18C2","Injury Collisions","2023","2023","-","All days","Number","5358"
"ROA18C2","Injury Collisions","2023","2023","1","Sunday","Number","661"
"ROA18C2","Injury Collisions","2023","2023","2","Monday","Number","746"
"ROA18C2","Injury Collisions","2023","2023","3","Tuesday","Number","813"
"ROA18C2","Injury Collisions","2023","2023","4","Wednesday","Number","752"
"ROA18C2","Injury Collisions","2023","2023","5","Thursday","Number","840"
"ROA18C2","Injury Collisions","2023","2023","6","Friday","Number","851"
"ROA18C2","Injury Collisions","2023","2023","7","Saturday","Number","695"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","-","All days","Number","6533"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","1","Sunday","Number","998"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","2","Monday","Number","935"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","3","Tuesday","Number","808"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","4","Wednesday","Number","856"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","5","Thursday","Number","896"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","6","Friday","Number","1042"
"ROA18C3","All Fatal and Injury Collisions","2005","2005","7","Saturday","Number","998"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","-","All days","Number","6018"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","1","Sunday","Number","971"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","2","Monday","Number","866"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","3","Tuesday","Number","830"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","4","Wednesday","Number","750"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","5","Thursday","Number","751"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","6","Friday","Number","910"
"ROA18C3","All Fatal and Injury Collisions","2006","2006","7","Saturday","Number","940"
"ROA18C3","All Fatal and Injury Collisions","2007","2007","-","All days","Number","5467"
"ROA18C3","All Fatal and Injury Collisions","2007","2007","1","Sunday","Number","828"
"ROA18C3","All Fatal and Injury Collisions","2007","2007","2","Monday","Number","744"
